provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-flash,Dice_Count,dice4.png,1508,500,24379.6,24379.6
gemini,gemini-2.5-flash,Dice_Count,dice6.png,1508,257,14872.5,14872.5
gemini,gemini-2.5-flash,Dice_Count,dice5.png,1508,704,19279.0,19279.0
gemini,gemini-2.5-flash,Dice_Count,dice7.png,1508,335,12942.0,12942.0
gemini,gemini-2.5-flash,Dice_Count,dice8.png,1508,645,21732.4,21732.4
gemini,gemini-2.5-flash,Dice_Count,dice9.png,1508,438,26924.4,26924.4
gemini,gemini-2.5-flash,Dice_Count,dice3.png,1508,2039,26055.3,26055.3
gemini,gemini-2.5-flash,Dice_Count,dice10.png,1508,576,21446.8,21446.8
gemini,gemini-2.5-flash,Place_Dot,path7.png,1520,141,128353.0,128353.0
gemini,gemini-2.5-flash,Place_Dot,path8.png,1520,171,19820.3,19820.3
gemini,gemini-2.5-flash,Place_Dot,path6.png,1520,126,331541.2,331541.2
gemini,gemini-2.5-flash,Place_Dot,path3.png,1520,120,329948.5,329948.5
gemini,gemini-2.5-flash,Place_Dot,path10.png,1520,215,16165.1,16165.1
gemini,gemini-2.5-flash,Place_Dot,path5.png,1520,230,40368.9,40368.9
gemini,gemini-2.5-flash,Place_Dot,path9.png,1520,158,283736.1,283736.1
gemini,gemini-2.5-flash,Place_Dot,path4.png,1520,152,17800.7,17800.7
gemini,gemini-2.5-flash,Patch_Select,image4.jpg,1458,158,20301.5,20301.5
gemini,gemini-2.5-flash,Patch_Select,image5.jpg,1458,209,13551.8,13551.8
gemini,gemini-2.5-flash,Patch_Select,image3.jpg,1458,79,18285.5,18285.5
gemini,gemini-2.5-flash,Patch_Select,image9.jpg,1458,150,17655.0,17655.0
gemini,gemini-2.5-flash,Patch_Select,image6.jpg,1466,264,18587.9,18587.9
gemini,gemini-2.5-flash,Patch_Select,image7.jpg,1458,420,24469.5,24469.5
gemini,gemini-2.5-flash,Patch_Select,image10.jpg,1458,194,15357.4,15357.4
gemini,gemini-2.5-flash,Patch_Select,image8.jpg,1459,250,11982.3,11982.3
gemini,gemini-2.5-flash,Click_Order,image4.png,2356,204,20059.9,20059.9
gemini,gemini-2.5-flash,Click_Order,image10.png,2356,180,17405.6,17405.6
gemini,gemini-2.5-flash,Click_Order,image7.png,2356,306,25519.9,25519.9
gemini,gemini-2.5-flash,Click_Order,image6.png,2356,77,13998.2,13998.2
gemini,gemini-2.5-flash,Click_Order,image9.png,2356,73,25651.4,25651.4
gemini,gemini-2.5-flash,Click_Order,image3.png,2356,270,18823.7,18823.7
gemini,gemini-2.5-flash,Click_Order,image8.png,2356,77,17179.3,17179.3
gemini,gemini-2.5-flash,Click_Order,image5.png,2356,311,24047.4,24047.4
