provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
gemini,gemini-2.5-pro,Bingo,20,0.950,22181.9,22181.9,9220,424,9644,0.015765,0.000788
gemini,gemini-2.5-pro,Click_Order,10,0.000,50101.2,50101.2,6270,548,6818,0.013317,0.001332
gemini,gemini-2.5-pro,Connect_Icon,20,0.750,10346.2,10346.2,45404,286,45690,0.059615,0.002981
gemini,gemini-2.5-pro,Coordinates,18,0.833,8742.9,8742.9,39666,285,39951,0.052432,0.002913
gemini,gemini-2.5-pro,Dart_Count,20,0.050,17147.7,17147.7,73026,315,73341,0.094433,0.004722
gemini,gemini-2.5-pro,Dice_Count,11,0.091,14494.5,14494.5,3553,165,3718,0.006091,0.000554
gemini,gemini-2.5-pro,Geometry_Click,15,0.000,8534.5,8534.5,5335,434,5769,0.011009,0.000734
gemini,gemini-2.5-pro,Image_Matching,19,0.316,19803.7,19803.7,31901,263,32164,0.042506,0.002237
gemini,gemini-2.5-pro,Image_Recognition,20,0.750,6492.0,6492.0,49065,530,49595,0.066631,0.003332
gemini,gemini-2.5-pro,Misleading_Click,10,0.800,12059.9,12059.9,3540,266,3806,0.007085,0.000709
gemini,gemini-2.5-pro,Object_Match,20,0.950,9281.3,9281.3,33240,286,33526,0.044410,0.002220
gemini,gemini-2.5-pro,Patch_Select,10,0.300,8249.1,8249.1,4209,383,4592,0.009091,0.000909
gemini,gemini-2.5-pro,Path_Finder,10,1.000,18073.3,18073.3,16190,137,16327,0.021608,0.002161
gemini,gemini-2.5-pro,Pick_Area,20,0.250,13347.1,13347.1,7160,568,7728,0.014630,0.000732
gemini,gemini-2.5-pro,Place_Dot,20,0.000,7811.6,7811.6,7240,580,7820,0.014850,0.000742
gemini,gemini-2.5-pro,Rotation_Match,20,0.150,12675.8,12675.8,11780,319,12099,0.017915,0.000896
gemini,gemini-2.5-pro,Select_Animal,20,1.000,7381.7,7381.7,7606,320,7926,0.012708,0.000635
gemini,gemini-2.5-pro,Unusual_Detection,20,0.600,11829.0,11829.0,7740,380,8120,0.013475,0.000674
