provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5.1,Bingo,20,0.900,26297.1,26304.8,17380,20122,37502,0.222945,0.011147
openai,gpt-5.1,Click_Order,10,0.400,18244.5,18246.8,7130,3897,11027,0.047882,0.004788
openai,gpt-5.1,Connect_Icon,20,0.800,25103.9,25107.2,72389,20433,92822,0.294816,0.014741
openai,gpt-5.1,Coordinates,18,0.611,44528.9,44537.6,95294,27640,122934,0.395518,0.021973
openai,gpt-5.1,Dart_Count,20,0.850,42611.5,42618.6,176930,18026,194956,0.401423,0.020071
openai,gpt-5.1,Dice_Count,11,0.000,162578.0,162584.4,10638,46077,56715,0.474068,0.043097
openai,gpt-5.1,Geometry_Click,15,0.467,4487.2,4488.6,5939,2961,8900,0.037034,0.002469
openai,gpt-5.1,Image_Matching,19,0.789,26130.3,26137.5,77347,12216,89563,0.218844,0.011518
openai,gpt-5.1,Image_Recognition,20,0.750,5948.9,5953.5,41206,3741,44947,0.088918,0.004446
openai,gpt-5.1,Misleading_Click,10,0.900,8656.3,8661.3,7670,1537,9207,0.024958,0.002496
openai,gpt-5.1,Object_Match,20,0.850,37406.2,37416.3,78720,13390,92110,0.232300,0.011615
openai,gpt-5.1,Patch_Select,10,0.400,21809.2,21811.4,5789,7806,13595,0.085296,0.008530
openai,gpt-5.1,Path_Finder,10,1.000,20203.9,20212.8,38950,8845,47795,0.137138,0.013714
openai,gpt-5.1,Pick_Area,20,0.100,5360.4,5364.5,7040,3194,10234,0.040740,0.002037
openai,gpt-5.1,Place_Dot,20,0.050,4879.5,4883.3,15500,2743,18243,0.046805,0.002340
openai,gpt-5.1,Rotation_Match,20,0.150,17565.5,17570.7,28900,12503,41403,0.161155,0.008058
openai,gpt-5.1,Select_Animal,20,1.000,5376.9,5384.9,15833,1713,17546,0.036921,0.001846
openai,gpt-5.1,Unusual_Detection,20,0.350,12203.9,12212.2,16240,9165,25405,0.111950,0.005598
