provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5,Bingo,20,0.900,34327.1,34335.7,17380,27496,44876,0.296685,0.014834
openai,gpt-5,Click_Order,10,0.200,26653.2,26656.0,7130,8874,16004,0.097653,0.009765
openai,gpt-5,Connect_Icon,20,0.900,45987.1,45992.1,72389,31444,103833,0.404926,0.020246
openai,gpt-5,Coordinates,18,0.944,69995.7,70006.9,95294,36018,131312,0.479297,0.026628
openai,gpt-5,Dart_Count,20,0.650,72720.8,72731.5,176930,47572,224502,0.696883,0.034844
openai,gpt-5,Dice_Count,11,0.182,118175.8,118184.1,10638,48432,59070,0.497618,0.045238
openai,gpt-5,Geometry_Click,15,0.533,16960.8,16963.0,5939,6809,12748,0.075514,0.005034
openai,gpt-5,Image_Matching,19,0.632,62650.4,62658.1,77347,14275,91622,0.239434,0.012602
openai,gpt-5,Image_Recognition,20,0.800,13327.2,13332.6,41206,7328,48534,0.124787,0.006239
openai,gpt-5,Misleading_Click,10,0.900,16999.6,17005.6,7670,5478,13148,0.064367,0.006437
openai,gpt-5,Object_Match,20,0.850,54401.2,54416.3,78720,26132,104852,0.359720,0.017986
openai,gpt-5,Patch_Select,10,0.200,53332.2,53334.1,5789,20824,26613,0.215476,0.021548
openai,gpt-5,Path_Finder,10,1.000,52050.1,52061.9,38950,17706,56656,0.225747,0.022575
openai,gpt-5,Pick_Area,20,0.200,28832.5,28836.0,7040,18892,25932,0.197720,0.009886
openai,gpt-5,Place_Dot,20,0.050,18374.5,18377.1,15500,13260,28760,0.151975,0.007599
openai,gpt-5,Rotation_Match,20,0.050,35985.6,35989.4,29180,20288,49468,0.239355,0.011968
openai,gpt-5,Select_Animal,20,1.000,9666.9,9672.1,15832,3860,19692,0.058390,0.002919
openai,gpt-5,Unusual_Detection,20,0.500,23108.2,23116.0,15960,14392,30352,0.163870,0.008193
