provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Bingo,10,0.000,9938.8,9938.8,135360,192,135552,0.029948,0.002995
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,10,0.000,8054.6,8054.6,4864,767,5631,0.001745,0.000175
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,10,0.200,5264.6,5264.6,15353,188,15541,0.003543,0.000354
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Coordinates,10,0.100,4239.0,4239.0,47110,186,47296,0.010528,0.001053
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,10,0.100,10123.6,10123.6,80208,188,80396,0.017811,0.001781
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,10,0.000,3239.9,3239.9,16946,185,17131,0.003891,0.000389
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Geometry_Click,10,0.100,2885.9,2885.9,3343,313,3656,0.001011,0.000101
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Image_Matching,10,0.200,9838.6,9838.6,65181,200,65381,0.014516,0.001452
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Image_Recognition,10,0.600,6247.8,6247.8,7896,284,8180,0.001987,0.000199
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,10,0.500,8093.4,8093.4,6641,325,6966,0.001747,0.000175
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Object_Match,10,0.600,23156.9,23156.9,104552,188,104740,0.023167,0.002317
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,10,0.000,2228.0,2228.0,13387,618,14005,0.003489,0.000349
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,10,1.000,14997.1,14997.1,241920,180,242100,0.053381,0.005338
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,10,0.100,6351.4,6351.4,55761,326,56087,0.012554,0.001255
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,10,0.000,5445.2,5445.2,5810,323,6133,0.001562,0.000156
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Rotation_Match,10,0.000,4270.2,4270.2,16399,180,16579,0.003766,0.000377
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,10,0.400,2600.7,2600.7,12152,170,12322,0.002823,0.000282
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,10,0.100,13575.7,13575.7,11200,357,11557,0.002778,0.000278
