provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
gemini,gemini-2.5-flash,Bingo,10,0.300,11671.7,11671.7,4810,8360,13170,0.022343,0.002234
gemini,gemini-2.5-flash,Click_Order,10,0.000,5503.6,5503.6,7620,1548,9168,0.006156,0.000616
gemini,gemini-2.5-flash,Connect_Icon,10,0.800,2849.7,2849.7,22690,1198,23888,0.009802,0.000980
gemini,gemini-2.5-flash,Coordinates,10,0.800,4274.2,4274.2,21152,1132,22284,0.009176,0.000918
gemini,gemini-2.5-flash,Dart_Count,10,0.900,9608.6,9608.6,35612,1379,36991,0.014131,0.001413
gemini,gemini-2.5-flash,Dice_Count,10,0.100,8124.4,8124.4,6160,1818,7978,0.006393,0.000639
gemini,gemini-2.5-flash,Geometry_Click,10,0.100,5017.2,5017.2,5364,1319,6683,0.004907,0.000491
gemini,gemini-2.5-flash,Image_Matching,10,0.500,9770.2,9770.2,18426,1974,20400,0.010463,0.001046
gemini,gemini-2.5-flash,Image_Recognition,10,0.800,2875.8,2875.8,25605,1399,27004,0.011179,0.001118
gemini,gemini-2.5-flash,Misleading_Click,10,0.700,7287.6,7287.6,5010,1891,6901,0.006230,0.000623
gemini,gemini-2.5-flash,Object_Match,10,1.000,8913.1,8913.1,17510,1207,18717,0.008271,0.000827
gemini,gemini-2.5-flash,Patch_Select,10,0.000,5050.3,5050.3,5010,1249,6259,0.004626,0.000463
gemini,gemini-2.5-flash,Path_Finder,10,0.600,5840.1,5840.1,5340,1145,6485,0.004464,0.000446
gemini,gemini-2.5-flash,Pick_Area,10,0.100,10064.9,10064.9,4910,1551,6461,0.005350,0.000535
gemini,gemini-2.5-flash,Place_Dot,10,0.000,5807.9,5807.9,5070,1166,6236,0.004436,0.000444
gemini,gemini-2.5-flash,Rotation_Match,10,0.300,7087.0,7087.0,7520,2050,9570,0.007381,0.000738
gemini,gemini-2.5-flash,Select_Animal,10,1.000,3297.3,3297.3,4840,1026,5866,0.004017,0.000402
gemini,gemini-2.5-flash,Unusual_Detection,10,0.500,6069.1,6069.1,4890,1665,6555,0.005629,0.000563
