provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5-chat-latest,Bingo,10,0.1000,2665.8,2673.3,8500,160,8660,0.012225,0.001223
openai,gpt-5-chat-latest,Click_Order,10,0.000,1736.2,1739.3,8490,600,9090,0.016613,0.001661
openai,gpt-5-chat-latest,Connect_Icon,10,0.200,4389.2,4393.0,22540,140,22680,0.029575,0.002958
openai,gpt-5-chat-latest,Coordinates,10,0.400,8046.1,8059.0,50470,140,50610,0.064488,0.006449
openai,gpt-5-chat-latest,Dart_Count,10,0.100,15500.5,15511.3,83510,140,83650,0.105788,0.010579
openai,gpt-5-chat-latest,Dice_Count,10,0.000,3919.5,3931.0,11820,130,11950,0.016075,0.001607
openai,gpt-5-chat-latest,Geometry_Click,10,0.100,806.1,807.6,4997,230,5227,0.008546,0.000855
openai,gpt-5-chat-latest,Image_Matching,10,0.000,17927.3,17938.9,41320,140,41460,0.053050,0.005305
openai,gpt-5-chat-latest,Image_Recognition,10,0.800,3456.2,3460.2,20976,263,21239,0.028850,0.002885
openai,gpt-5-chat-latest,Misleading_Click,10,0.800,2503.5,2509.0,8420,230,8650,0.012825,0.001283
openai,gpt-5-chat-latest,Object_Match,10,0.000,16607.9,16627.0,39710,140,39850,0.051037,0.005104
openai,gpt-5-chat-latest,Patch_Select,10,0.000,1653.8,1655.9,5939,281,6220,0.010234,0.001023
openai,gpt-5-chat-latest,Path_Finder,10,0.000,1582.9,1584.3,8830,140,8970,0.012438,0.001244
openai,gpt-5-chat-latest,Pick_Area,10,0.000,6990.0,7005.4,8460,230,8690,0.012875,0.001288
openai,gpt-5-chat-latest,Place_Dot,10,0.000,2277.5,2280.3,9490,230,9720,0.014162,0.001416
openai,gpt-5-chat-latest,Rotation_Match,10,0.100,3955.5,3961.2,15280,130,15410,0.020400,0.002040
openai,gpt-5-chat-latest,Select_Animal,10,1.000,3695.5,3705.1,8242,140,8382,0.011703,0.001170
openai,gpt-5-chat-latest,Unusual_Detection,10,0.400,2998.9,3007.3,8380,164,8544,0.012115,0.001212
