provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5.1,Bingo,20,0.2,3658.6,3665.8,20460,440,20900,0.029975,0.001499
openai,gpt-5.1,Click_Order,10,0.2,1633.8,1636.7,8610,530,9140,0.016063,0.001606
openai,gpt-5.1,Connect_Icon,20,0.15,5890.9,5895.3,74949,423,75372,0.097916,0.004896
openai,gpt-5.1,Coordinates,18,0.167,5657.3,5665.2,97508,387,97895,0.125755,0.006986
openai,gpt-5.1,Dart_Count,20,0.1,19021.3,19030.7,180430,420,180850,0.229738,0.011487
openai,gpt-5.1,Dice_Count,11,0.0,4087.9,4094.9,12288,220,12508,0.01756,0.001596
openai,gpt-5.1,Geometry_Click,15,0.4,1429.6,1430.3,7604,471,8075,0.014215,0.000948
openai,gpt-5.1,Image_Matching,19,0.211,14558.0,14565.6,80273,402,80675,0.104361,0.005493
openai,gpt-5.1,Image_Recognition,20,0.7,1972.0,1974.0,43806,562,44368,0.060378,0.003019
openai,gpt-5.1,Patch_Select,10,0.1,1743.5,1744.6,7319,324,7643,0.012389,0.001239
openai,gpt-5.1,Path_Finder,10,1.0,5171.6,5177.3,40240,213,40453,0.05243,0.005243
openai,gpt-5.1,Place_Dot,20,0.1,1818.6,1821.6,18500,582,19082,0.028945,0.001447
openai,gpt-5.1,Rotation_Match,20,0.15,4029.9,4033.5,30660,406,31066,0.042385,0.002119
openai,gpt-5.1,Select_Animal,20,1.0,3377.1,3383.3,18334,420,18754,0.027117,0.001356
openai,gpt-5.1,Unusual_Detection,20,0.45,3264.2,3270.7,19340,491,19831,0.029085,0.001454
openai,gpt-5.1,Misleading_Click,10,1.0,2850.9,2852.0,8650,282,8932,0.013633,0.001363
openai,gpt-5.1,Object_Match,20,0.1,14985.1,14989.7,81260,423,81683,0.105805,0.00529
openai,gpt-5.1,Pick_Area,20,0.15,2207.9,2209.1,8640,580,9220,0.0166,0.00083
