provider,model,type,n,pass_at_1,avg_ttft_ms,avg_e2e_ms,tokens_in,tokens_out,total_tokens,cost_usd,cost_per_question
openai,gpt-5,Bingo,20,0.950,70897.3,70906.5,21060,53160,74220,0.557925,0.027896
openai,gpt-5,Click_Order,10,0.000,33142.3,33145.8,8480,10666,19146,0.117260,0.011726
openai,gpt-5,Connect_Icon,20,0.900,43723.5,43729.1,74469,26644,101113,0.359526,0.017976
openai,gpt-5,Coordinates,18,0.667,59218.6,59228.1,97202,33778,130980,0.459282,0.025516
openai,gpt-5,Dart_Count,20,0.950,83505.9,83516.7,180490,42772,223262,0.653332,0.032667
openai,gpt-5,Dice_Count,11,0.182,120152.6,120162.2,13047,51184,64231,0.528149,0.048014
openai,gpt-5,Geometry_Click,15,0.000,1340.5,1340.5,0,0,0,0.000000,0.000000
openai,gpt-5,Image_Matching,19,0.105,10063.5,10064.3,12821,3571,16392,0.051736,0.002723
openai,gpt-5,Image_Recognition,20,0.800,11992.7,11996.6,43306,6748,50054,0.121612,0.006081
openai,gpt-5,Misleading_Click,10,0.800,37913.4,37919.7,8410,13542,21952,0.145933,0.014593
openai,gpt-5,Object_Match,20,0.900,50358.4,50371.9,80760,26132,106892,0.362270,0.018113
openai,gpt-5,Patch_Select,10,0.400,52374.4,52377.1,7349,22106,29455,0.230246,0.023025
openai,gpt-5,Path_Finder,10,1.000,33260.5,33271.3,40810,9322,50132,0.144232,0.014423
openai,gpt-5,Pick_Area,20,0.250,43774.7,43778.6,8500,31116,39616,0.321785,0.016089
openai,gpt-5,Place_Dot,20,0.050,37023.5,37027.1,18940,24076,43016,0.264435,0.013222
openai,gpt-5,Rotation_Match,20,0.050,41630.3,41635.3,30820,29312,60132,0.331645,0.016582
openai,gpt-5,Select_Animal,20,1.000,9427.1,9435.0,17933,3860,21793,0.061016,0.003051
openai,gpt-5,Unusual_Detection,20,0.600,20511.5,20519.9,18760,12917,31677,0.152620,0.007631
